primary_method,standardized_method_name,method_class
measure counting S-symbols in third argument,direct_measure,direct_measure
Measure decrease on S-nesting depth,direct_measure,direct_measure
measure definition,direct_measure,direct_measure
measure descent (S-depth of third argument of F),direct_measure,direct_measure
measure function,direct_measure,direct_measure
measure function counting `S` constructors,direct_measure,direct_measure
measure function on third argument,direct_measure,direct_measure
measure interpretation (3rd-arg size),direct_measure,direct_measure
measure M(t),direct_measure,direct_measure
measure on banana depth,lexicographic_measure,direct_measure
measure on leading S constructors in third argument,direct_measure,direct_measure
measure on leading S-constructors in third argument,direct_measure,direct_measure
measure on S-depth of third argument,direct_measure,direct_measure
measure on S-depths of F third arguments,direct_measure,direct_measure
measure on S-nesting depth,direct_measure,direct_measure
measure on size/depth of third argument,direct_measure,direct_measure
measure on third argument of F,direct_measure,direct_measure
measure on third argument with Peano/ℕ well-founded induction,direct_measure,direct_measure
measure on third-argument S-length; recursive path ordering,direct_measure,direct_measure
measure on total S symbols in F third arguments,direct_measure,direct_measure
measure summing S-symbols over F occurrences,direct_measure,direct_measure
measure summing third-argument sizes over F occurrences,direct_measure,direct_measure
measure-based argument,direct_measure,direct_measure
measure-based argument / well-founded induction,direct_measure,direct_measure
measure-based argument on S-depth of third argument,direct_measure,direct_measure
measure-based counting argument (symbol counts),direct_measure,direct_measure
measure-based lexicographic ordering of symbol-counts,lexicographic_measure,direct_measure
Measure-based lexicographic termination,lexicographic_measure,direct_measure
measure-based termination,direct_measure,direct_measure
measure-based termination argument,direct_measure,direct_measure
measure-decrease argument,direct_measure,direct_measure
measure-decrease/structural descent,direct_measure,direct_measure
measure/decrease argument,direct_measure,direct_measure
measure/interpretation (counting nested S) plus induction,direct_measure,direct_measure
measure/interpretation on terms,direct_measure,direct_measure
measure/ordering argument (S-depth),direct_measure,direct_measure
measure/ordering argument; multiset extension,multiset_measure,direct_measure
measure/ranking argument (counting S-symbols),direct_measure,direct_measure
measure/structural descent,direct_measure,direct_measure
measure/structural descent (count of S above Z in third argument),direct_measure,direct_measure
measure/structural descent (count of S in third argument),direct_measure,direct_measure
measure/structural descent (induction on term size),direct_measure,direct_measure
measure/structural descent (multiset order),direct_measure,direct_measure
measure/structural descent (number of S in third argument),direct_measure,direct_measure
measure/structural descent (S-prefix count on third argument),direct_measure,direct_measure
measure/structural descent on S-constructor,direct_measure,direct_measure
measure/structural descent on third argument,direct_measure,direct_measure
measure/termination ordering,direct_measure,direct_measure
measure/weight argument (lexicographic pair),lexicographic_measure,direct_measure
measure/weight argument counting S-occurrences,direct_measure,direct_measure
"meta-level ""decreasing argument"" / primitive-recursion intuition",structural_descent,structural_descent
meta-level termination proof / termination ordering,path_order_generic,path_order
monotone algebra / max-polynomial interpretation,polynomial_interpretation,polynomial
monotone algebra interpretation,polynomial_interpretation,polynomial
monotone interpretation (monotone algebra),polynomial_interpretation,polynomial
monotone interpretation into Nat,polynomial_interpretation,polynomial
monotone measure/interpretation μ on symbols,polynomial_interpretation,polynomial
monotone polynomial interpretation,polynomial_interpretation,polynomial
monotone polynomial/interpretation argument,polynomial_interpretation,polynomial
monotone semantic interpretation (exponential weight),polynomial_interpretation,polynomial
monotonic interpretation into naturals,polynomial_interpretation,polynomial
MPO/path order,path_order_generic,path_order
multicomponent measure,direct_measure,direct_measure
multiset (Dershowitz-Manna) ordering,multiset_measure,direct_measure
multiset depth measure; recursive path order; polynomial interpretation,multiset_measure,direct_measure
Multiset extension of term sizes,multiset_measure,direct_measure
Multiset measure,multiset_measure,direct_measure
multiset measure,multiset_measure,direct_measure
multiset measure (sizes/S-depths of third arguments),multiset_measure,direct_measure
multiset measure of third-argument depths,multiset_measure,direct_measure
multiset measure of third-argument sizes,multiset_measure,direct_measure
multiset measure on eqW-potential,multiset_measure,direct_measure
Multiset measure on S-depths,multiset_measure,direct_measure
Multiset measure on sizes of third arguments,multiset_measure,direct_measure
multiset measure on term sizes,multiset_measure,direct_measure
multiset measure on third argument,multiset_measure,direct_measure
multiset measure on third-argument S-depths,multiset_measure,direct_measure
multiset measure on third-argument sizes,multiset_measure,direct_measure
multiset of F third-argument sizes,multiset_measure,direct_measure
multiset of F-redex numeric heights,multiset_measure,direct_measure
multiset of leading-S counts for F third arguments,multiset_measure,direct_measure
multiset of nat-depths,multiset_measure,direct_measure
multiset of outermost S-chain lengths,multiset_measure,direct_measure
multiset of recursion depths,multiset_measure,direct_measure
multiset of recursion depths of third arguments of F-subterms,multiset_measure,direct_measure
multiset of recΔ third-argument sizes,multiset_measure,direct_measure
multiset of S-chain depths,multiset_measure,direct_measure
multiset of S-counts in F third arguments,multiset_measure,direct_measure
multiset of S-depths,multiset_measure,direct_measure
multiset of S-depths of third arguments of F-subterms,multiset_measure,direct_measure
multiset of S-depths; Recursive Path Ordering,multiset_measure,direct_measure
multiset of sizes,multiset_measure,direct_measure
multiset of sizes of third arguments of F-subterms,multiset_measure,direct_measure
Multiset order on S-nesting depth,multiset_measure,direct_measure
multiset order; lexicographic path order,multiset_measure,direct_measure
multiset ordering,multiset_measure,direct_measure
multiset ordering / measure,multiset_measure,direct_measure
Multiset ordering on S-nesting depths,multiset_measure,direct_measure
multiset path ordering,path_order_generic,path_order
Multiset Path Ordering (MPO),path_order_generic,path_order
multiset path ordering (MPO),path_order_generic,path_order
multiset path ordering and polynomial interpretation,path_order_generic,path_order
multiset path-ordering over lexicographic product of recΔ delta-height and constructor multiset,multiset_measure,direct_measure
multiset S-depth measure,multiset_measure,direct_measure
multiset structural measure on third arguments,multiset_measure,direct_measure
"multiset(ℕ), ℕ, ℕ lexicographic measure",multiset_measure,direct_measure
multiset/depth measure on third arguments,multiset_measure,direct_measure
multiset/lexicographic measure,multiset_measure,direct_measure
multiset/lexicographic measure (eqW/recΔ / delta-height / size),multiset_measure,direct_measure
multiset/lexicographic measure (S-count),multiset_measure,direct_measure
multiset/lexicographic measure on third argument,multiset_measure,direct_measure
multiset/measure interpretation (3rd-arg size),multiset_measure,direct_measure
multiset/measure interpretation (3rd-arg subterms),multiset_measure,direct_measure
multiset/measure interpretation (numeral size),multiset_measure,direct_measure
multiset/measure interpretation (S-count),multiset_measure,direct_measure
multiset/measure interpretation (S-depth),multiset_measure,direct_measure
multiset/polynomial interpretation,multiset_measure,direct_measure
multiset/sum measure on third-argument sizes; RPO/LPO,multiset_measure,direct_measure
multivariate well-founded measure,direct_measure,direct_measure
natural measure on nested S constructors,direct_measure,direct_measure
natural-number / polynomial interpretation,polynomial_interpretation,polynomial
natural-number interpretation,polynomial_interpretation,polynomial
natural-number interpretation measure,polynomial_interpretation,polynomial
natural-number measure,direct_measure,direct_measure
natural-number measure / interpretation,direct_measure,direct_measure
natural-number measure on leading S-symbols,direct_measure,direct_measure
natural-number measure on nested grapes (with polynomial interpretation),direct_measure,direct_measure
natural-number measure on S occurrences,direct_measure,direct_measure
natural-number polynomial interpretation,polynomial_interpretation,polynomial
natural-number ranking,direct_measure,direct_measure
natural-number weight,direct_measure,direct_measure
natural-number weight interpretation,polynomial_interpretation,polynomial
natural-number weight measure,direct_measure,direct_measure
nesting depth of S,direct_measure,direct_measure
nesting-depth measure,direct_measure,direct_measure
Noetherian induction,well_founded_induction,structural_induction
non-terminating reduction sequence by substitution,objection_or_non_method,objection
number of S constructors,direct_measure,direct_measure
numeric (natural-number) measure / well-founded ordering,direct_measure,direct_measure
numeric measure (#F + #S),direct_measure,direct_measure
numeric reduction ordering,path_order_generic,path_order
numeric weight interpretation,polynomial_interpretation,polynomial
"numeric weight measure (root-only, no congruence)",direct_measure,direct_measure
numeric weight/interpretation,polynomial_interpretation,polynomial
objection: requires structural assumptions about naturals domain,objection_or_non_method,objection
objection: requires structural axioms about Z/S constructors,objection_or_non_method,objection
objection: requires well-foundedness of natural number structure,objection_or_non_method,objection
ordering-based termination proof (polynomial interpretation / LPO),polynomial_interpretation,polynomial
ordinal interpretation,ordinal_interpretation,polynomial
ordinal interpretation below epsilon-zero,ordinal_interpretation,polynomial
ordinal valuation,ordinal_interpretation,polynomial
ordinal-valued interpretation method,polynomial_interpretation,polynomial
orthogonality / nesting depth,direct_measure,direct_measure
orthogonality / Noetherian induction,well_founded_induction,structural_induction
outer induction on term size,structural_induction,structural_induction
path ordering (LPO/MPO/RPO),path_order_generic,path_order
path-ordering termination proof,path_order_generic,path_order
polynomial / interpretation argument,polynomial_interpretation,polynomial
polynomial / measure interpretation,polynomial_interpretation,polynomial
Polynomial Interpretation,polynomial_interpretation,polynomial
Polynomial interpretation,polynomial_interpretation,polynomial
polynomial interpretation,polynomial_interpretation,polynomial
polynomial interpretation (+ LPO),polynomial_interpretation,polynomial
polynomial interpretation (linear weight assignment),polynomial_interpretation,polynomial
polynomial interpretation (size measure),polynomial_interpretation,polynomial
polynomial interpretation (weight function),polynomial_interpretation,polynomial
polynomial interpretation / lexicographic path order,polynomial_interpretation,polynomial
polynomial interpretation / lexicographic path ordering,polynomial_interpretation,polynomial
polynomial interpretation / monotone algebra,polynomial_interpretation,polynomial
polynomial interpretation / natural-number measure,polynomial_interpretation,polynomial
polynomial interpretation / reduction measure,polynomial_interpretation,polynomial
polynomial interpretation / structural induction,polynomial_interpretation,polynomial
Polynomial interpretation / weight function,polynomial_interpretation,polynomial
Polynomial interpretation / weight function on the structure of terms,polynomial_interpretation,polynomial
polynomial interpretation / well-founded measure,polynomial_interpretation,polynomial
polynomial interpretation / well-founded measure argument,polynomial_interpretation,polynomial
polynomial interpretation / well-founded measure descent,polynomial_interpretation,polynomial
Polynomial interpretation / well-founded ordering,polynomial_interpretation,polynomial
polynomial interpretation / well-founded ordering,polynomial_interpretation,polynomial
Polynomial interpretation / well-founded ordering on the size of the third argument,polynomial_interpretation,polynomial
polynomial interpretation / well-founded reduction ordering,polynomial_interpretation,polynomial
polynomial interpretation and RPO,polynomial_interpretation,polynomial
polynomial interpretation into $\mathbb{N}$,polynomial_interpretation,polynomial
polynomial interpretation into naturals,polynomial_interpretation,polynomial
Polynomial interpretation into the natural numbers,polynomial_interpretation,polynomial
polynomial interpretation into ℕ,polynomial_interpretation,polynomial
polynomial interpretation or lexicographic path order (F>G),polynomial_interpretation,polynomial
Polynomial Interpretation or Lexicographic Path Ordering (LPO),polynomial_interpretation,polynomial
polynomial interpretation or multiset path ordering,polynomial_interpretation,polynomial
Polynomial interpretation over natural numbers,polynomial_interpretation,polynomial
polynomial interpretation over natural numbers,polynomial_interpretation,polynomial
polynomial interpretation over naturals,polynomial_interpretation,polynomial
polynomial interpretation over positive integers,polynomial_interpretation,polynomial
polynomial interpretation over positive naturals,polynomial_interpretation,polynomial
Polynomial Interpretation over the natural numbers,polynomial_interpretation,polynomial
Polynomial interpretation over the natural numbers,polynomial_interpretation,polynomial
polynomial interpretation over the natural numbers,polynomial_interpretation,polynomial
Polynomial interpretation over ℕ,polynomial_interpretation,polynomial
Polynomial interpretation over ℕ with a well-foundedness argument,polynomial_interpretation,polynomial
polynomial interpretation with contextual extension,polynomial_interpretation,polynomial
polynomial interpretation with exponential banana weight,polynomial_interpretation,polynomial
polynomial interpretation with monotone weight function,polynomial_interpretation,polynomial
polynomial interpretation with size induction,structural_induction,structural_induction
polynomial interpretation; dependency pair/subterm criterion,polynomial_interpretation,polynomial
Polynomial interpretation; Lexicographic Path Ordering,polynomial_interpretation,polynomial
Polynomial interpretation; lexicographic path ordering (LPO/RPO),polynomial_interpretation,polynomial
polynomial interpretation; LPO/RPO,polynomial_interpretation,polynomial
polynomial interpretation; recursive path order,polynomial_interpretation,polynomial
polynomial interpretation; recursive path ordering,polynomial_interpretation,polynomial
polynomial interpretation; recursive path ordering (RPO),polynomial_interpretation,polynomial
polynomial interpretation; subterm criterion,polynomial_interpretation,polynomial
Polynomial interpretation; well-foundedness argument,polynomial_interpretation,polynomial
polynomial interpretations,polynomial_interpretation,polynomial
polynomial interpretations and recursive path orderings,polynomial_interpretation,polynomial
"polynomial interpretations, well-founded measures, and recursive path orderings",polynomial_interpretation,polynomial
polynomial measure over naturals,polynomial_interpretation,polynomial
polynomial termination measure,polynomial_interpretation,polynomial
polynomial weight interpretation,polynomial_interpretation,polynomial
polynomial-exponential interpretation,polynomial_interpretation,polynomial
polynomial-interpretation termination proof,polynomial_interpretation,polynomial
polynomial/exponential interpretation,polynomial_interpretation,polynomial
polynomial/measure interpretation,polynomial_interpretation,polynomial
polynomial/measure interpretation (S-depth),polynomial_interpretation,polynomial
polynomial/monotone interpretation,polynomial_interpretation,polynomial
polynomial/numeric interpretation,polynomial_interpretation,polynomial
polynomial/ordinal interpretation,polynomial_interpretation,polynomial
polynomial/size interpretation; well-founded ordering,polynomial_interpretation,polynomial
polynomial/weight interpretation,polynomial_interpretation,polynomial
polynomial/weight measure,polynomial_interpretation,polynomial
polynomial/weighted interpretation,polynomial_interpretation,polynomial
primitive recursion,structural_descent,structural_descent
primitive recursive function,structural_descent,structural_descent
primitive recursive pattern,structural_descent,structural_descent
primitive recursive pattern on third argument of F,structural_descent,structural_descent
primitive recursive scheme,structural_descent,structural_descent
primitive recursive structure,structural_descent,structural_descent
primitive-recursion-style / recursive path ordering,structural_descent,structural_descent
primitive-recursive interpretation + recursive path ordering,rpo,path_order
pure structural recursion,structural_descent,structural_descent
qualitative analysis,direct_measure,direct_measure
qualitative analysis of the rewrite rules,direct_measure,direct_measure
rank function,direct_measure,direct_measure
rank function (structural recursion),direct_measure,direct_measure
rank function on third-argument constructor depth,direct_measure,direct_measure
Ranking function,direct_measure,direct_measure
ranking function on third argument to F,direct_measure,direct_measure
recursion on successor structure,structural_descent,structural_descent
recursive definition on third argument,structural_descent,structural_descent
recursive measure / interpretation,direct_measure,direct_measure
recursive measure / polynomial interpretation,direct_measure,direct_measure
recursive path order,rpo,path_order
recursive path order (LPO),lpo,path_order
recursive path order (precedence F>G>S>Z),rpo,path_order
Recursive Path Order (RPO),rpo,path_order
recursive path order (RPO),rpo,path_order
"recursive path order (RPO) with precedence F>G, lexicographic status",rpo,path_order
recursive path order (RPO); root-only size induction,rpo,path_order
recursive path order (RPO/LPO),rpo,path_order
recursive path order or multiset measure,rpo,path_order
recursive path order or polynomial interpretation,rpo,path_order
recursive path order with precedence F≻G≻S≻Z,rpo,path_order
Recursive Path Ordering,rpo,path_order
recursive path ordering,rpo,path_order
recursive path ordering (F > G),rpo,path_order
recursive path ordering (precedence F>G>S>Z),rpo,path_order
Recursive Path Ordering (RPO),rpo,path_order
recursive path ordering (RPO),rpo,path_order
Recursive Path Ordering (RPO) / Lexicographic Path Ordering (LPO); Polynomial Interpretation,rpo,path_order
recursive path ordering (RPO) / S-count measure,rpo,path_order
recursive path ordering (RPO) with chosen precedence,rpo,path_order
Recursive Path Ordering (RPO) with precedence F>G,rpo,path_order
recursive path ordering (RPO) with precedence F>G,rpo,path_order
recursive path ordering (RPO); induction on S-count,rpo,path_order
recursive path ordering (RPO); polynomial interpretation,rpo,path_order
recursive path ordering (RPO); root-only size descent,rpo,path_order
recursive path ordering (RPO); root-only structural descent,rpo,path_order
"recursive path ordering (RPO, precedence F>G)",rpo,path_order
"recursive path ordering (RPO, precedence F>G>S>Z)",rpo,path_order
Recursive path ordering (RPO/LPO); polynomial interpretation,rpo,path_order
Recursive Path Ordering (RPO/LPO); Polynomial Interpretations,rpo,path_order
recursive path ordering / lexicographic path ordering,rpo,path_order
recursive path ordering / multiset order,rpo,path_order
recursive path ordering / multiset path ordering,rpo,path_order
recursive path ordering or lexicographic ordering,rpo,path_order
recursive path ordering or lexicographic path ordering,lpo,path_order
recursive path ordering or S-depth measure,rpo,path_order
recursive path ordering with delta-depth witness,rpo,path_order
recursive path ordering with precedence F≻G≻S≻Z,rpo,path_order
recursive path ordering; induction on S-symbol count,rpo,path_order
recursive structure / dependency graph analysis,dependency_pairs,transformed_calls
recursive structure argument (decreasing argument),structural_descent,structural_descent
recursive-path ordering (RPO),rpo,path_order
recursive-structure analysis,structural_descent,structural_descent
recursive-structure non-termination analysis,objection_or_non_method,objection
recursive/lexicographic path order,rpo,path_order
recursive/lexicographic path ordering,rpo,path_order
Recursive/Lexicographic Path Ordering (LPO),lpo,path_order
Recursive/lexicographic path ordering (RPO/LPO),rpo,path_order
recursive/lexicographic path ordering (RPO/LPO),rpo,path_order
recursive/lexicographic path ordering; size measure,rpo,path_order
reduction ordering / lexicographic path ordering,path_order_generic,path_order
"reduction-height recursion (root-only, no congruence)",structural_descent,structural_descent
reduction-ordering argument (LPO/RPO-style),path_order_generic,path_order
resource-counting + structural size measure,direct_measure,direct_measure
root-level redex measure,direct_measure,direct_measure
root-only / no-congruence (reduction length <=1),structural_descent,structural_descent
root-only case analysis (literal reading); monotone polynomial interpretation into ℕ (congruence-closed reading),structural_descent,structural_descent
root-only normal form argument,structural_descent,structural_descent
root-only normal-form / subterm argument,structural_descent,structural_descent
root-only rank; recursive path ordering,direct_measure,direct_measure
root-only reduction,structural_descent,structural_descent
root-only reduction / LPO,lpo,path_order
root-only reduction analysis,structural_descent,structural_descent
root-only reduction chain bound argument,structural_descent,structural_descent
root-only relation / LPO-RPO,lpo,path_order
root-only relation / polynomial interpretation,polynomial_interpretation,polynomial
root-only rewrite relation,structural_descent,structural_descent
root-only rewriting case analysis,structural_descent,structural_descent
root-only RHS-is-normal-form,structural_descent,structural_descent
root-only RHS-normal-form / subterm size descent,structural_descent,structural_descent
root-only size argument,direct_measure,direct_measure
root-only size descent + RHS-is-normal-form,direct_measure,direct_measure
root-only size descent; polynomial interpretation / LPO,direct_measure,direct_measure
root-only size induction,structural_induction,structural_induction
root-only size induction; lexicographic measure (#eqW/#recΔ/#delta/size),structural_induction,structural_induction
root-only structural argument,structural_descent,structural_descent
root-only structural descent; polynomial interpretation / MPO,structural_descent,structural_descent
root-only structural descent; polynomial/exponential interpretation,structural_descent,structural_descent
root-only structural induction,structural_induction,structural_induction
root-only structural measure; Lexicographic Path Ordering (LPO),direct_measure,direct_measure
root-only structural termination argument by head-case analysis,structural_descent,structural_descent
root-only subterm/size descent + RHS-is-normal-form,structural_descent,structural_descent
root-only trivial; Lexicographic Path Ordering (LPO),lpo,path_order
root-only trivial; polynomial interpretation,polynomial_interpretation,polynomial
root-only trivial; recursive path ordering,rpo,path_order
root-only trivial; recursive/lexicographic path ordering,rpo,path_order
root-only well-founded measure,direct_measure,direct_measure
root-oriented constructor complexity measure argument,direct_measure,direct_measure
root-pattern reduction analysis with no-cycle argument,structural_descent,structural_descent
root-priority rank measure,direct_measure,direct_measure
root-reduction structural argument; polynomial interpretation,structural_descent,structural_descent
root-step analysis with lexicographic measure on root recΔ redex count and size,lexicographic_measure,direct_measure
root-step case analysis by rule heads,structural_descent,structural_descent
root-step case analysis with bounded recursion depth,structural_descent,structural_descent
root-step case analysis with proper-subterm descent,structural_descent,structural_descent
root-step case analysis with structural induction on size,structural_induction,structural_induction
root-step case split with proper-subterm descent,structural_descent,structural_descent
root-step measure on redex flag and constructor size,direct_measure,direct_measure
root-step relation,structural_descent,structural_descent
root-step termination by immediate-stop and subterm-return cases,structural_descent,structural_descent
root-step termination by proper-subterm descent and immediate normal forms,structural_descent,structural_descent
root-step termination by rule-shape analysis,structural_descent,structural_descent
root-step termination by rule-shape case analysis,structural_descent,structural_descent
root-step termination measure on redex flag and size,direct_measure,direct_measure
root-step well-founded measure on redex flag and size,direct_measure,direct_measure
RPO (Recursive Path Order),rpo,path_order
RPO (recursive path order),rpo,path_order
RPO (recursive path ordering),rpo,path_order
RPO or polynomial interpretation,rpo,path_order
RPO path order,rpo,path_order
RPO with precedence F > G,rpo,path_order
RPO/KBO path order; lexicographic measure (g c s),rpo,path_order
RPO/LPO / S-nesting depth interpretation,rpo,path_order
RPO/LPO path order,rpo,path_order
RPO/path order,rpo,path_order
RPO/simplification ordering,rpo,path_order
S-chain depth,direct_measure,direct_measure
S-constructor count in third argument,direct_measure,direct_measure
S-count measure,direct_measure,direct_measure
S-count measure on reducible F third arguments,direct_measure,direct_measure
S-count measure on term,direct_measure,direct_measure
S-count measure on third argument,direct_measure,direct_measure
S-count measure on third-argument spine,direct_measure,direct_measure
S-count measure over F third arguments,direct_measure,direct_measure
S-count sum over F-redex third arguments,direct_measure,direct_measure
S-count weight over F third arguments,direct_measure,direct_measure
S-depth measure,direct_measure,direct_measure
S-depth/F measure,direct_measure,direct_measure
S-height measure on F-redex third arguments,direct_measure,direct_measure
S-nesting depth measure,direct_measure,direct_measure
S-symbol count measure,direct_measure,direct_measure
S/Z-count measure over F third arguments,direct_measure,direct_measure
semantic (interpretation-based) termination proof,polynomial_interpretation,polynomial
Semantic argument,direct_measure,direct_measure
semantic argument based on interpreting the `S`/`Z` constructors as natural numbers with a well-founded ordering,polynomial_interpretation,polynomial
semantic argument based on natural number interpretation,direct_measure,direct_measure
Semantic measure-based argument,direct_measure,direct_measure
semantic measure-based argument,direct_measure,direct_measure
semantic termination argument,direct_measure,direct_measure
semantic termination argument via a well-founded measure,direct_measure,direct_measure
semantic termination proof,direct_measure,direct_measure
semantic termination proof via a custom well-founded measure,direct_measure,direct_measure
semantic weight / polynomial interpretation,polynomial_interpretation,polynomial
semantic weight/measure argument,direct_measure,direct_measure
Semantic/structural reasoning,structural_descent,structural_descent
simple measure,direct_measure,direct_measure
simple measure on size of third argument,direct_measure,direct_measure
simple measure on third argument,direct_measure,direct_measure
simple size measure / case analysis on eight rules,direct_measure,direct_measure
simple termination measure,direct_measure,direct_measure
simple well-founded measure,direct_measure,direct_measure
simplification order / structural induction,path_order_generic,path_order
simplification ordering (LPO/RPO),path_order_generic,path_order
simplification ordering (recursive path ordering or polynomial interpretation),path_order_generic,path_order
simplification ordering (RPO / polynomial interpretation),path_order_generic,path_order
simplification ordering / lexicographic path ordering,path_order_generic,path_order
simulating reduction sequences,direct_measure,direct_measure
size + grape-count measure,lexicographic_measure,direct_measure
size descent (constructor count) with terminal rules,direct_measure,direct_measure
"size descent / well-founded measure (root-only, no congruence)",direct_measure,direct_measure
size function,direct_measure,direct_measure
"size induction (root-only, no congruence)",structural_induction,structural_induction
size measure,direct_measure,direct_measure
size measure (constructor count),direct_measure,direct_measure
"size measure (root-only, no congruence)",direct_measure,direct_measure
"size measure / case analysis (root-only, no congruence)",direct_measure,direct_measure
size measure / interpretation function,polynomial_interpretation,polynomial
"size measure / structural induction (root-only, no congruence)",direct_measure,direct_measure
size measure on the third argument,direct_measure,direct_measure
size measure on third argument,direct_measure,direct_measure
size measure on third argument of F,direct_measure,direct_measure
size measure on third argument of outermost F,direct_measure,direct_measure
size of third argument,direct_measure,direct_measure
size-based induction proving Acc Step for all terms,structural_induction,structural_induction
size-based induction with increasing-rule irreducibility argument,structural_induction,structural_induction
size-based rule classification with terminal increasing cases,direct_measure,direct_measure
size-based structural induction over root cases,structural_induction,structural_induction
size-based structural induction with root-constructor case split,structural_induction,structural_induction
size-decreasing measure,direct_measure,direct_measure
size/depth lexicographic measure on third argument,lexicographic_measure,direct_measure
size/height induction under root-step rewriting,structural_induction,structural_induction
size/measure + RPO + polynomial interpretation,direct_measure,direct_measure
size/numeric interpretation,polynomial_interpretation,polynomial
size‑decrease measure,direct_measure,direct_measure
standard simplification order (LPO/RPO),path_order_generic,path_order
standard structural induction on third argument of F,structural_induction,structural_induction
strictly decreasing recursion on third argument,structural_descent,structural_descent
strong induction on banana-grape depth measure,structural_induction,structural_induction
strong induction on lexicographic measure,structural_induction,structural_induction
strong induction on measure,structural_induction,structural_induction
strong induction on term size,structural_induction,structural_induction
strong induction on term size under root-step relation,structural_induction,structural_induction
strong induction on term size with root-only rule classification,structural_induction,structural_induction
structural accessibility proof by constructor cases,well_founded_induction,structural_induction
structural analysis,structural_descent,structural_descent
structural analysis of recursion depth,structural_descent,structural_descent
structural analysis of the rewrite rules,structural_descent,structural_descent
structural argument based on decreasing successor depth,direct_measure,direct_measure
structural complexity measure,direct_measure,direct_measure
structural complexity measure with induction roadmap,structural_induction,structural_induction
structural decrease,structural_descent,structural_descent
structural decrease of S-depth / multiset measure,structural_descent,structural_descent
structural decrease of third argument,structural_descent,structural_descent
structural decrease on third argument,structural_descent,structural_descent
structural decreasing measure / lexicographic path argument,direct_measure,direct_measure
structural depth measure,direct_measure,direct_measure
structural descent,structural_descent,structural_descent
structural descent (decreasing successor depth),structural_descent,structural_descent
structural descent (root-only well-founded induction on finite depth),structural_descent,structural_descent
structural descent (root-step / proper-subterm),structural_descent,structural_descent
structural descent (root-step) + polynomial interpretation,structural_descent,structural_descent
structural descent (root-step) / natural-number measure,structural_descent,structural_descent
structural descent (well-founded induction on finite depth),structural_descent,structural_descent
structural descent / measure argument,structural_descent,structural_descent
structural descent / natural-number measure (third argument depth),structural_descent,structural_descent
Structural descent / polynomial interpretation,structural_descent,structural_descent
structural descent / size argument,structural_descent,structural_descent
structural descent argument on the third argument,structural_descent,structural_descent
structural descent on n,structural_descent,structural_descent
structural descent on S-constructor,structural_descent,structural_descent
structural descent on the third argument,structural_descent,structural_descent
structural descent on third argument,structural_descent,structural_descent
structural descent on third argument (depth),structural_descent,structural_descent
structural descent on third argument (subterm relation),structural_descent,structural_descent
structural descent on third argument (successor depth),structural_descent,structural_descent
Structural induction,structural_induction,structural_induction
structural induction,structural_induction,structural_induction
structural induction (Acc),structural_induction,structural_induction
"structural induction (root-only, no congruence)",structural_induction,structural_induction
"structural induction (root-only, subterm order)",structural_induction,structural_induction
structural induction (root-step normal-or-smaller),structural_induction,structural_induction
"structural induction / accessibility (root-only, no congruence)",structural_induction,structural_induction
structural induction / accessibility (root-step descent),structural_induction,structural_induction
structural induction / lexicographic measure on third argument,structural_induction,structural_induction
structural induction / measure on third argument,structural_induction,structural_induction
structural induction / polynomial interpretation,structural_induction,structural_induction
structural induction / Simplification Order,structural_induction,structural_induction
structural induction / subterm descent on third argument,structural_induction,structural_induction
structural induction / subterm ordering,structural_induction,structural_induction
"structural induction / well-founded measure (root-only, no congruence)",structural_induction,structural_induction
structural induction / well-founded ordering (S-depth of third argument),structural_induction,structural_induction
structural induction argument,structural_induction,structural_induction
structural induction on a measure,structural_induction,structural_induction
structural induction on Acc,structural_induction,structural_induction
structural induction on complexity,structural_induction,structural_induction
Structural induction on depth of third argument,structural_induction,structural_induction
structural induction on size,structural_induction,structural_induction
structural induction on size / Acc,structural_induction,structural_induction
Structural induction on successor-depth,structural_induction,structural_induction
structural induction on term constructors,structural_induction,structural_induction
structural induction on term size,structural_induction,structural_induction
structural induction on term size with one-step increasing-rule terminality,structural_induction,structural_induction
structural induction on term structure,structural_induction,structural_induction
structural induction on terms,structural_induction,structural_induction
structural induction on terms to normal forms,structural_induction,structural_induction
structural induction on terms with finite-chain bound over nondeterministic Step,structural_induction,structural_induction
Structural induction on the third argument,structural_induction,structural_induction
structural induction on the third argument,structural_induction,structural_induction
Structural induction on the third argument of F,structural_induction,structural_induction
Structural induction on third argument,structural_induction,structural_induction
structural induction on third argument,structural_induction,structural_induction
structural induction on third argument; Lexicographic Path Ordering (LPO),structural_induction,structural_induction
structural induction on Trace,structural_induction,structural_induction
structural induction on Trace / Acc,structural_induction,structural_induction
structural induction on Trace / size,structural_induction,structural_induction
structural induction on Trace under root-only Step,structural_induction,structural_induction
structural induction on Trace under root-step relation,structural_induction,structural_induction
structural induction on Trace with root-step rule case split,structural_induction,structural_induction
structural induction on Trace.rec,structural_induction,structural_induction
structural induction on traces,structural_induction,structural_induction
structural induction or ordinal interpretation,structural_induction,structural_induction
structural induction proving Acc for all terms,structural_induction,structural_induction
structural induction with delta-height measure,structural_induction,structural_induction
structural induction with maximum reduction-length bound,structural_induction,structural_induction
structural induction with measure on delta-depth constructor-count and chain length,structural_induction,structural_induction
structural induction/measure on third argument,structural_induction,structural_induction
structural induction/recursion on third argument,structural_induction,structural_induction
