primary_method,active_standardized_method_name,active_method_class,scoring_standardized_method_name,scoring_method_class,instructions_standardized_method_name,instructions_method_class,final_standardized_method_name,final_method_class,decision
lexicographic measure on grape banana cherry counts and term size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape count and size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape count and structural size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape count banana+cherry count and size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape count cherry count and size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape count tree size and cherry count,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape depth and term size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape depth banana count and weighted size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape-count and size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape-count cherry-count and constructor size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape-depth and active constructor count,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape-depth and term size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on grape-in-banana depth and size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on multiset of active constructors,multiset_measure,direct_measure,multiset_measure,direct_measure,,,multiset_measure,direct_measure,sources_agree
lexicographic measure on non-plum count depth and subtree-size sum,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on recΔ argument structure and weighted size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on recΔ delta-depth and size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on recΔ delta-height multiset eqW-count and size,,,multiset_measure,direct_measure,multiset_measure,direct_measure,multiset_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on recΔ height eqW count and size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on recΔ third-argument multiset and size,,,multiset_measure,direct_measure,multiset_measure,direct_measure,multiset_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on recΔ-argument delta-depth and term size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on recΔ-delta-count and size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on redex-depth and constructor count with structural induction,,,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
lexicographic measure on root activity rank and size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on root-redex flag and term size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on S-count and F-count,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure on size and grape-position count,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on size and recΔ-argument delta count,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on size and recΔ-argument delta-chain weight,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on structural size and delta-depth,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on symbol counts,,,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on term depth and weighted constructor size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on term structure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure on total S and F occurrences,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure on trace-height and syntactic size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure on weighted grape size and structural size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure with active-constructor count and size,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure μ,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic measure μ(t) = (e(t), c(t))",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic measure ⟨size, δ-count in recΔ third arguments⟩",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic multicomponent measure over root redex counters and recΔ delta-chain length,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic multiset measure with term size fallback,,,multiset_measure,direct_measure,multiset_measure,direct_measure,multiset_measure,direct_measure,scoring_reviewed_migration
lexicographic natural-number interpretation,,,polynomial_interpretation,polynomial,,,polynomial_interpretation,polynomial,scoring_reviewed_migration
lexicographic or weight-based ordering,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic order,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic order / polynomial interpretation,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic ordering,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic ordering / multiset path order on argument structure,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
Lexicographic Ordering / Structural Induction,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
lexicographic ordering / structural recursion on third argument,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
Lexicographic ordering on S-depth,,,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic ordering on S-depth (3rd arg),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic ordering on S-depth (third argument),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic ordering on third argument,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic ordering with structural induction,,,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
lexicographic ordinal measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic pair,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic pair (#F, #S) measure",lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
"lexicographic pair (multiset(ℕ), ℕ, ℕ)",,,multiset_measure,direct_measure,multiset_measure,direct_measure,multiset_measure,direct_measure,scoring_reviewed_migration
"lexicographic pair (μ, #F-redexes)",lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic pair measure,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic pair measure (α, β)",lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic pair on leading S-symbols and F-nodes,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic pair on total S symbols and total F symbols,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
"lexicographic pair ψ(t) = (r(t), φ(t))",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic path order,lpo,path_order,lpo,path_order,lpo,path_order,lpo,path_order,sources_agree
Lexicographic Path Order (LPO),lpo,path_order,lpo,path_order,lpo,path_order,lpo,path_order,sources_agree
lexicographic path order (LPO),lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
Lexicographic Path Order (LPO) or polynomial interpretation,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
Lexicographic Path Order (LPO) with precedence F>G,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
"Lexicographic Path Order (LPO) with precedence F>G, F>S",lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
"lexicographic path order (LPO) with precedence F>G,S,Z",lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
lexicographic path order (LPO); polynomial interpretation,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
Lexicographic Path Order (LPO); Polynomial Interpretations,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
lexicographic path order (LPO); root-only size induction,lpo,path_order,,,,,lpo,path_order,active_only
Lexicographic Path Order (LPO); structural induction,,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
Lexicographic Path Ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
Lexicographic path ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
lexicographic path ordering,lpo,path_order,lpo,path_order,lpo,path_order,lpo,path_order,sources_agree
Lexicographic Path Ordering (LPO),lpo,path_order,lpo,path_order,lpo,path_order,lpo,path_order,sources_agree
lexicographic path ordering (LPO),lpo,path_order,lpo,path_order,lpo,path_order,lpo,path_order,sources_agree
Lexicographic Path Ordering (LPO) / Interpretation Function,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
Lexicographic Path Ordering (LPO) / Polynomial Interpretation,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
Lexicographic Path Ordering (LPO) / Recursive Path Ordering (RPO),,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
Lexicographic Path Ordering (LPO) or Polynomial Interpretation,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
Lexicographic Path Ordering (LPO) with precedence F>G,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
Lexicographic Path Ordering (LPO); Polynomial Interpretation,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
Lexicographic Path Ordering (LPO); polynomial interpretation,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
Lexicographic path ordering (LPO); polynomial interpretation,,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
lexicographic path ordering (LPO); polynomial interpretation,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
Lexicographic Path Ordering (LPO); Polynomial Interpretations,,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
Lexicographic Path Ordering (LPO); Recursive Path Ordering (RPO),lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
"lexicographic path ordering (LPO, precedence F>G)",lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
lexicographic path ordering / measure,,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
"lexicographic path ordering / measure (F-count, S-depth)",,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
lexicographic path ordering / polynomial interpretation,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
Lexicographic Path Ordering / Recursive Path Ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
lexicographic path ordering / recursive path ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
Lexicographic path ordering / well-founded measure,,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
lexicographic path ordering and polynomial interpretation,lpo,path_order,,,,,lpo,path_order,active_only
lexicographic path ordering or multiset path ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
lexicographic path ordering or polynomial interpretation,lpo,path_order,,,,,lpo,path_order,active_only
lexicographic path ordering or recursive path ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
lexicographic path ordering; recursive path ordering,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
Lexicographic polynomial interpretation,,,polynomial_interpretation,polynomial,polynomial_interpretation,polynomial,polynomial_interpretation,polynomial,scoring_reviewed_migration
lexicographic polynomial interpretation,,,polynomial_interpretation,polynomial,polynomial_interpretation,polynomial,polynomial_interpretation,polynomial,scoring_reviewed_migration
lexicographic polynomial interpretation on cherry-count grape-count and size,,,polynomial_interpretation,polynomial,polynomial_interpretation,polynomial,polynomial_interpretation,polynomial,scoring_reviewed_migration
lexicographic product (multiset of recΔ depths / size),multiset_measure,direct_measure,multiset_measure,direct_measure,,,multiset_measure,direct_measure,sources_agree
lexicographic ranking,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
"lexicographic ranking (size, # of S)",lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
"lexicographic ranking (term size, # of S symbols)",lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic recursive path ordering,lpo,path_order,,,,,lpo,path_order,active_only
lexicographic recursive path ordering (LPO/RPO),lpo,path_order,,,,,lpo,path_order,active_only
Lexicographic Recursive Path Ordering (RecPO),,,rpo,path_order,rpo,path_order,rpo,path_order,scoring_reviewed_migration
lexicographic S-count/term-size measure,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic S/F-count measure,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic structural measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic symbol-count measure,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic term-size/S-count measure,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic termination measure,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic termination measure (pair of naturals),,,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic termination measure on (#S, #F)",,,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic triple (cherry / grape / size),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic triple (eqW+recΔ count / delta count / size),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic triple measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic tuple,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic tuple (d, e, m)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic tuple measure,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic tuple measure on delta-count eqW-count and merge-count,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic weight argument,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic well-founded measure over delta eqW merge counts,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic well-founded measure over recΔ-argument size multiset eqW count and term size,,,multiset_measure,direct_measure,multiset_measure,direct_measure,multiset_measure,direct_measure,scoring_reviewed_migration
lexicographic well-founded order on term size and recΔ unfolding depth,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
lexicographic well-founded ordering with recΔ-depth and weighted size components,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
lexicographic-weight termination ordering,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
lexicographic/measure argument on term structure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic/multiset measure (eqW-count / recΔ-depth multiset / size),multiset_measure,direct_measure,,,,,multiset_measure,direct_measure,active_only
lexicographic/multiset path order (RPO),rpo,path_order,rpo,path_order,,,rpo,path_order,sources_agree
lexicographic/multiset path ordering,path_order_generic,path_order,path_order_generic,path_order,,,path_order_generic,path_order,sources_agree
lexicographic/multiset path ordering + well-founded induction,,,path_order_generic,path_order,,,path_order_generic,path_order,scoring_reviewed_migration
lexicographic/path ordering,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
lexicographic/polynomial argument,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic/polynomial measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
Lexicographic/Recursive Path Ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
Lexicographic/recursive path ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
lexicographic/recursive path ordering,lpo,path_order,lpo,path_order,lpo,path_order,lpo,path_order,sources_agree
Lexicographic/Recursive Path Ordering (LPO/RPO),,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
lexicographic/recursive path ordering (LPO/RPO),lpo,path_order,,,,,lpo,path_order,active_only
lexicographic/size measure on third argument,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographical path ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
Lexicographical Path Ordering (LPO),lpo,path_order,lpo,path_order,lpo,path_order,lpo,path_order,sources_agree
Lexicographical Path Ordering (LPO); structural induction,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
LPO,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
LPO (lexicographic path order),,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
LPO (lexicographic path ordering),,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
LPO + polynomial interpretation,,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
LPO + structural induction,,,lpo,path_order,,,lpo,path_order,scoring_reviewed_migration
LPO / MPO,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
LPO / RPO,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
LPO / weight function,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
LPO path order,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
LPO with precedence F > G,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
LPO/path order,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
LPO/path order or multiset measure,lpo,path_order,,,,,lpo,path_order,active_only
LPO/RPO,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
LPO/RPO / polynomial interpretation,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
LPO/RPO path order,path_order_generic,path_order,path_order_generic,path_order,,,path_order_generic,path_order,sources_agree
LPO/RPO path order; lexicographic measure (g c s),path_order_generic,path_order,,,,,path_order_generic,path_order,active_only
LPO/RPO reduction ordering,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
LPO/RPO; polynomial interpretation,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
LPO; RPO; structural induction,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
LPO; simple subterm argument,lpo,path_order,lpo,path_order,,,lpo,path_order,sources_agree
"M(t) = (is-redex(t), |t|)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure (number of S in third argument of F),direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
measure (structural size of third argument),direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
measure (sum of S in third argument of F),direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
measure (sum of sizes of third arguments of F),direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
measure (total S in third argument of F),direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
"measure / monotone interpretation into (ℕ,>)",,,polynomial_interpretation,polynomial,,,polynomial_interpretation,polynomial,scoring_reviewed_migration
measure / well-foundedness of natural numbers,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure argument / structural recursion (subterm / RPO),,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure counting S symbols,direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
measure counting S symbols in third argument,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure counting S symbols in third arguments,direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
measure counting S-constructors in third argument,direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
measure counting S-occurrences in third argument of F,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure counting S-symbols in third argument,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
Measure decrease on S-nesting depth,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure definition,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure descent (S-depth of third argument of F),direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure function,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure function counting `S` constructors,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure function on third argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure interpretation (3rd-arg size),direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
measure M(t),,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure on banana depth,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
measure on leading S constructors in third argument,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure on leading S-constructors in third argument,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure on S-depth of third argument,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure on S-depths of F third arguments,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure on S-nesting depth,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure on size/depth of third argument,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure on third argument of F,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure on third argument with Peano/ℕ well-founded induction,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure on third-argument S-length; recursive path ordering,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure on total S symbols in F third arguments,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure summing S-symbols over F occurrences,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure summing third-argument sizes over F occurrences,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
measure-based argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure-based argument / well-founded induction,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure-based argument on S-depth of third argument,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure-based counting argument (symbol counts),,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure-based lexicographic ordering of symbol-counts,,,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,scoring_reviewed_migration
Measure-based lexicographic termination,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
measure-based termination,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure-based termination argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
measure-decrease argument,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure-decrease/structural descent,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure/decrease argument,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure/interpretation (counting nested S) plus induction,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure/interpretation on terms,direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
measure/ordering argument (S-depth),,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure/ordering argument; multiset extension,,,multiset_measure,direct_measure,,,multiset_measure,direct_measure,scoring_reviewed_migration
measure/ranking argument (counting S-symbols),,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
measure/structural descent,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
