primary_method,standardized_method_name,method_class,provenance,reason
natural-number measure on nested grapes (with polynomial interpretation),direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with nesting-count measure; parenthetical interpretation secondary
numeric (natural-number) measure / well-founded ordering,direct_measure,direct_measure,double-blind-2026-07-06:agree,numeric measure leads; counting measure into N
numeric measure (#F + #S),direct_measure,direct_measure,double-blind-2026-07-06:agree,symbol-count measure
numeric weight interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,"weight interpretation into N, matches natural-number weight interpretation convention"
numeric weight/interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,"weight interpretation variant, interpretation named"
ordering-based termination proof (polynomial interpretation / LPO),polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,parenthetical leads with polynomial interpretation
polynomial / interpretation argument,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,interpretation argument renamed to polynomial_interpretation
polynomial / measure interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,polynomial-led interpretation
polynomial interpretation (+ LPO),polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,primary method is polynomial; LPO secondary
polynomial interpretation (linear weight assignment),polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,polynomial with weight assignment detail
polynomial interpretation (size measure),polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,polynomial interpretation named as primary
polynomial interpretation (weight function),polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,matches dict Polynomial interpretation / weight function
polynomial interpretation / lexicographic path order,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,compound leads with polynomial
polynomial interpretation / lexicographic path ordering,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,compound leads with polynomial
polynomial interpretation / natural-number measure,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,"polynomial-led, matches natural-number / polynomial interpretation row"
polynomial interpretation / structural induction,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,compound leads with polynomial
polynomial interpretation / well-founded measure,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,matches dict polynomial interpretation / well-founded measure argument
polynomial interpretation / well-founded measure descent,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,polynomial-led compound
polynomial interpretation / well-founded reduction ordering,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,matches dict polynomial interpretation / well-founded ordering
polynomial interpretation and RPO,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,matches dict polynomial interpretations and recursive path orderings
polynomial interpretation into ℕ,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,matches dict polynomial interpretation into N variants
polynomial interpretation or lexicographic path order (F>G),polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,compound leads with polynomial
polynomial interpretation; LPO/RPO,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,compound leads with polynomial
polynomial interpretation; dependency pair/subterm criterion,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,compound leads with polynomial
polynomial interpretation; recursive path order,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,compound leads with polynomial
polynomial interpretation; recursive path ordering,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,compound leads with polynomial
polynomial interpretation; recursive path ordering (RPO),polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,compound leads with polynomial
polynomial interpretation; subterm criterion,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,compound leads with polynomial
polynomial/measure interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,polynomial-led interpretation
polynomial/monotone interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,matches dict polynomial interpretation / monotone algebra
polynomial/numeric interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,"interpretation into N, polynomial-led"
polynomial/ordinal interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,leads with polynomial; ordinal not the primary commitment
polynomial/size interpretation; well-founded ordering,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,polynomial-led interpretation compound
primitive recursive pattern on third argument of F,structural_descent,structural_descent,double-blind-2026-07-06:agree,primitive recursion renamed to structural_descent
rank function,direct_measure,direct_measure,double-blind-2026-07-06:agree,numeric rank measure
rank function on third-argument constructor depth,direct_measure,direct_measure,double-blind-2026-07-06:agree,depth-based rank measure
ranking function on third argument to F,direct_measure,direct_measure,double-blind-2026-07-06:agree,numeric measure on third argument
recursive measure / polynomial interpretation,direct_measure,direct_measure,double-blind-2026-07-06:agree,"leads with a measure, polynomial secondary"
recursive path order (RPO),rpo,path_order,double-blind-2026-07-06:agree,RPO named
"recursive path order (RPO) with precedence F>G, lexicographic status",rpo,path_order,double-blind-2026-07-06:agree,RPO with precedence detail
recursive path order with precedence F≻G≻S≻Z,rpo,path_order,double-blind-2026-07-06:agree,RPO with explicit precedence
recursive path ordering (RPO) / S-count measure,rpo,path_order,double-blind-2026-07-06:agree,compound leads with RPO
recursive path ordering (RPO) with chosen precedence,rpo,path_order,double-blind-2026-07-06:agree,RPO with precedence
recursive path ordering (RPO) with precedence F>G,rpo,path_order,double-blind-2026-07-06:agree,matches dict RPO with precedence F > G
recursive path ordering (RPO); induction on S-count,rpo,path_order,double-blind-2026-07-06:agree,compound leads with RPO
recursive path ordering (RPO); polynomial interpretation,rpo,path_order,double-blind-2026-07-06:agree,compound leads with RPO
"recursive path ordering (RPO, precedence F>G)",rpo,path_order,double-blind-2026-07-06:agree,RPO with precedence
"recursive path ordering (RPO, precedence F>G>S>Z)",rpo,path_order,double-blind-2026-07-06:agree,RPO with full precedence chain
recursive path ordering with precedence F≻G≻S≻Z,rpo,path_order,double-blind-2026-07-06:agree,RPO with explicit precedence
recursive path ordering; induction on S-symbol count,rpo,path_order,double-blind-2026-07-06:agree,primary committed method is RPO
recursive structure argument (decreasing argument),structural_descent,structural_descent,double-blind-2026-07-06:agree,recursive-structure decrease without formal order
recursive/lexicographic path order,rpo,path_order,double-blind-2026-07-06:agree,matches dictionary recursive/lexicographic path ordering -> rpo
recursive/lexicographic path ordering (RPO/LPO),rpo,path_order,double-blind-2026-07-06:agree,exact dictionary pattern RPO/LPO -> rpo
recursive/lexicographic path ordering; size measure,rpo,path_order,double-blind-2026-07-06:agree,leads with RPO/LPO; size measure secondary
resource-counting + structural size measure,direct_measure,direct_measure,double-blind-2026-07-06:agree,counting/size measure
root-only RHS-is-normal-form,structural_descent,structural_descent,double-blind-2026-07-06:agree,root-only normal-form argument per dictionary
root-only RHS-normal-form / subterm size descent,structural_descent,structural_descent,double-blind-2026-07-06:agree,root-only normal-form plus subterm descent
root-only case analysis (literal reading); monotone polynomial interpretation into ℕ (congruence-closed reading),structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with root-only case analysis; polynomial is alternate reading
root-only reduction / LPO,lpo,path_order,double-blind-2026-07-06:agree,root-only describes relation; method is LPO
root-only size descent + RHS-is-normal-form,direct_measure,direct_measure,double-blind-2026-07-06:agree,size descent is a size measure
root-only structural descent; polynomial interpretation / MPO,structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural descent
root-only structural descent; polynomial/exponential interpretation,structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural descent
root-only subterm/size descent + RHS-is-normal-form,structural_descent,structural_descent,double-blind-2026-07-06:agree,subterm descent under root-only reading
root-reduction structural argument; polynomial interpretation,structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural argument
semantic termination argument via a well-founded measure,direct_measure,direct_measure,double-blind-2026-07-06:agree,semantic well-founded measure -> direct_measure
semantic weight / polynomial interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,weight given as polynomial interpretation
semantic weight/measure argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,weight/measure without interpretation equations
simple measure on size of third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,size measure on third argument
simple measure on third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,third-argument measure
simple size measure / case analysis on eight rules,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with size measure
simple termination measure,direct_measure,direct_measure,double-blind-2026-07-06:agree,plain termination measure
simplification ordering (RPO / polynomial interpretation),path_order_generic,path_order,double-blind-2026-07-06:agree,generic simplification ordering with alternatives
simplification ordering (recursive path ordering or polynomial interpretation),path_order_generic,path_order,double-blind-2026-07-06:agree,generic simplification ordering with alternatives
simplification ordering / lexicographic path ordering,path_order_generic,path_order,double-blind-2026-07-06:agree,matches reduction/simplification ordering pattern -> generic
size descent (constructor count) with terminal rules,direct_measure,direct_measure,double-blind-2026-07-06:agree,constructor-count size measure
size/measure + RPO + polynomial interpretation,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with size/measure
size/numeric interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,numeric interpretation into N
standard structural induction on third argument of F,structural_induction,structural_induction,double-blind-2026-07-06:agree,plain structural induction
structural decrease of third argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,structural decrease per dictionary
structural decreasing measure / lexicographic path argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with decreasing measure
structural descent (root-only well-founded induction on finite depth),structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural descent
structural descent (root-step / proper-subterm),structural_descent,structural_descent,double-blind-2026-07-06:agree,proper-subterm structural descent
structural descent (root-step) + polynomial interpretation,structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural descent
structural descent (root-step) / natural-number measure,structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural descent
structural descent / measure argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,matches structural/measure argument -> structural_descent
structural descent / natural-number measure (third argument depth),structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural descent
structural descent / size argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural descent
structural descent argument on the third argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,structural descent on third argument
structural descent on S-constructor,structural_descent,structural_descent,double-blind-2026-07-06:agree,descent on constructor structure
structural descent on third argument (subterm relation),structural_descent,structural_descent,double-blind-2026-07-06:agree,subterm-relation structural descent
structural induction (root-step normal-or-smaller),structural_induction,structural_induction,double-blind-2026-07-06:agree,plain structural induction
structural induction / accessibility (root-step descent),structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with structural induction
structural induction / measure on third argument,structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with structural induction
structural induction / polynomial interpretation,structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with structural induction
structural induction / subterm descent on third argument,structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with structural induction
structural induction / well-founded ordering (S-depth of third argument),structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with structural induction; ordering is secondary
structural induction on term size,structural_induction,structural_induction,double-blind-2026-07-06:agree,induction on term size is structural_induction per dictionary
structural induction on the third argument,structural_induction,structural_induction,double-blind-2026-07-06:agree,exact dictionary precedent
structural induction on third argument,structural_induction,structural_induction,double-blind-2026-07-06:agree,variant of dictionary structural induction on the third argument
structural induction on third argument; Lexicographic Path Ordering (LPO),structural_induction,structural_induction,double-blind-2026-07-06:agree,compound; primary committed method is structural induction
structural induction/recursion on third argument,structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with induction over recursion
structural induction; polynomial interpretation,structural_induction,structural_induction,double-blind-2026-07-06:agree,compound; structural induction named first
structural measure (S-constructor count on third argument),direct_measure,direct_measure,double-blind-2026-07-06:agree,constructor-count measure is a counting measure
"structural measure descent (root-only, multiset of constructors)",multiset_measure,direct_measure,double-blind-2026-07-06:agree,measure is explicitly a multiset of constructors
structural ordering; polynomial interpretation,structural_descent,structural_descent,double-blind-2026-07-06:agree,"structural ordering leads, like subterm ordering precedent"
structural recursion / decrease argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,structural recursion renames to structural_descent
structural recursion / decreasing argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,structural recursion renames to structural_descent
structural recursion / subterm relation,structural_descent,structural_descent,double-blind-2026-07-06:agree,structural recursion primary; subterm secondary
structural recursion / termination measure (S-depth of third argument),structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural recursion; measure secondary
structural recursion / well-founded ordering (S-constructor measure),structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural recursion
structural recursion argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,structural recursion renames to structural_descent
structural recursion on third argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,dictionary precedent structural recursion on the third argument
structural recursion; Lexicographic Path Order (LPO); recursive path ordering,structural_descent,structural_descent,double-blind-2026-07-06:agree,compound; structural recursion named first
structural recursion; Lexicographic Path Order; subterm ordering,structural_descent,structural_descent,double-blind-2026-07-06:agree,compound; structural recursion named first
structural recursion; Lexicographic Path Ordering (LPO),structural_descent,structural_descent,double-blind-2026-07-06:agree,compound; structural recursion named first
structural recursion; monotone polynomial interpretation; recursive path ordering,structural_descent,structural_descent,double-blind-2026-07-06:agree,compound; structural recursion named first
structural recursion; polynomial interpretation; recursive path ordering,structural_descent,structural_descent,double-blind-2026-07-06:agree,compound; structural recursion named first
structural recursion; well-founded ordering,structural_descent,structural_descent,double-blind-2026-07-06:agree,structural recursion primary
structural size measure (constructor count),direct_measure,direct_measure,double-blind-2026-07-06:agree,size/count measure per structural size measure precedent
"structural size measure (root-only, no congruence closure)",direct_measure,direct_measure,double-blind-2026-07-06:agree,size measure; qualifiers do not change method
structural size measure / case analysis on 8 rules (no congruence closure),direct_measure,direct_measure,double-blind-2026-07-06:agree,size measure primary; case analysis secondary
structural subterm / size descent (root-reduction),structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural subterm descent
structural subterm descent (root-reduction),structural_descent,structural_descent,double-blind-2026-07-06:agree,subterm descent without explicit measure
structural well-founded induction (root-step descent),well_founded_induction,structural_induction,double-blind-2026-07-06:agree,explicitly well-founded induction
structural-decrease / primitive-recursion intuition,structural_descent,structural_descent,double-blind-2026-07-06:agree,primitive recursion counts as structural_descent
structural-decrease argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,informal structural decrease precedent
structural/recursive descent on third argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,recursive/structural descent without measure
structural/size descent (root-only rewriting),structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural descent; size secondary
"structural/size descent (root-only, no congruence)",structural_descent,structural_descent,double-blind-2026-07-06:agree,leads with structural descent; size secondary
structural/size-decreasing argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,structural/measure hybrid maps to structural_descent per precedent
structural/subterm argument (well-founded ordering on naturals),structural_descent,structural_descent,double-blind-2026-07-06:agree,structural/subterm argument primary
structural/subterm descent (root-only rewriting),structural_descent,structural_descent,double-blind-2026-07-06:agree,subterm descent without mechanism upgrade
structural/subterm induction (informal RPO),structural_induction,structural_induction,double-blind-2026-07-06:agree,induction primary; informal RPO parenthetical
subterm criterion; lexicographic path ordering,dependency_pairs,transformed_calls,double-blind-2026-07-06:agree,subterm criterion counts as dependency_pairs and is named first
subterm descent / measure argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,subterm descent primary
subterm relation / RPO,structural_descent,structural_descent,double-blind-2026-07-06:agree,subterm relation primary like subterm ordering precedent
subterm/size measure on third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,size measure on an argument is a counting measure
syntactic measure (count of S in third argument),direct_measure,direct_measure,double-blind-2026-07-06:agree,S-count measure renames to direct_measure
syntactic measure + RPO,direct_measure,direct_measure,double-blind-2026-07-06:agree,syntactic measure named first; RPO secondary
syntactic measure / lexicographic order,direct_measure,direct_measure,double-blind-2026-07-06:agree,syntactic measure primary per dictionary syntactic measure row
termination measure (syntactic size / S-depth of third argument),direct_measure,direct_measure,double-blind-2026-07-06:agree,size/depth termination measure
termination ordering; lexicographic/recursive path ordering,path_order_generic,path_order,double-blind-2026-07-06:agree,termination ordering specified as LPO/RPO family
termination proof by a well-founded measure,direct_measure,direct_measure,double-blind-2026-07-06:agree,"generic well-founded measure, matches dictionary 'well-founded measure'"
top-level size descent; MPO/LPO path order,direct_measure,direct_measure,double-blind-2026-07-06:adjudicated,ADJUDICATED: descent-first compound; leading committed method is the size measure (precedent: Structural descent / polynomial interpretation -> structural_descent)
top-level structural descent; LPO / constructor-count measure,structural_descent,structural_descent,double-blind-2026-07-06:adjudicated,ADJUDICATED: descent-first compound; precedent Structural descent / polynomial interpretation
top-level structural descent; Lexicographic Path Ordering (LPO),structural_descent,structural_descent,double-blind-2026-07-06:adjudicated,ADJUDICATED: descent-first compound; precedent Structural descent / polynomial interpretation
top-level structural descent; recursive path ordering (RPO),structural_descent,structural_descent,double-blind-2026-07-06:adjudicated,ADJUDICATED: descent-first compound; precedent Structural descent / polynomial interpretation
top-level-only reduction / finite chains,structural_descent,structural_descent,double-blind-2026-07-06:agree,"root-only reduction observation without size mechanism, matches 'root-only reduction' rows"
top-level-only reduction / structural measure,direct_measure,direct_measure,double-blind-2026-07-06:agree,scope descriptor plus structural measure mechanism; 'structural measure' maps to direct_measure
weight function / polynomial interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,"weight function realized as polynomial interpretation, matches 'Polynomial interpretation / weight function'"
weight-function / polynomial interpretation on S-nesting depth,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,same weight-as-polynomial-interpretation pattern
weight-or measure-based termination proof,direct_measure,direct_measure,double-blind-2026-07-06:agree,generic weight/measure argument; weight_measure renames to direct_measure
weight/measure argument counting S symbols,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-count weight measure
weight/polynomial interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,weight given by polynomial interpretation
weighted natural-number interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,"interpretation into naturals, matches 'natural-number weight interpretation'"
weighted recursive measure / interpretation into naturals,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with a weighted measure; matches 'well-founded syntactic measure / interpretation'
well-founded Nat measure / structural descent,direct_measure,direct_measure,double-blind-2026-07-06:agree,matches 'well-founded measure / structural descent'
well-founded descent / measure argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,matches 'well-founded descent argument'
well-founded descent / structural recursion,direct_measure,direct_measure,double-blind-2026-07-06:agree,"leads with well-founded descent, mapped direct_measure in dictionary"
well-founded descent on Peano numeral in third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,numeral-size descent on third argument
"well-founded lexicographic measure (S-count, F-count)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,explicit lexicographic tuple of counts
well-founded measure (eqW weight + delta-depth),direct_measure,direct_measure,double-blind-2026-07-06:agree,additive single-valued weight measure
well-founded measure / lexicographic ranking,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,matches 'well-founded measure / lexicographic descent argument'
well-founded measure / structural descent argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,matches 'well-founded measure / structural descent'
well-founded measure by structural induction on third argument,direct_measure,direct_measure,double-blind-2026-07-06:adjudicated,"ADJUDICATED: measure is the committed method, induction is the proof wrapper (sibling precedent agreed by both passes)"
well-founded measure on S-symbols in third argument of F,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-count measure on third argument
well-founded measure on terms,direct_measure,direct_measure,double-blind-2026-07-06:agree,generic term measure
well-founded measure on third argument of F,direct_measure,direct_measure,double-blind-2026-07-06:agree,matches 'well-founded measure on third argument'
well-founded measure on total S count in third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-count measure
well-founded multiset / lexicographic ordering proof,multiset_measure,direct_measure,double-blind-2026-07-06:agree,leads with multiset; multiset wins over lexicographic per dictionary
well-founded multiset measure on third-argument sizes,multiset_measure,direct_measure,double-blind-2026-07-06:agree,"multiset of sizes, matches 'multiset measure on sizes of third arguments'"
well-founded numeric measure / RPO precedence,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with numeric measure; RPO secondary
well-founded order on third argument of F,path_order_generic,path_order,double-blind-2026-07-06:agree,matches dictionary 'well-founded order on third argument'
well-founded simplification ordering,path_order_generic,path_order,double-blind-2026-07-06:agree,simplification ordering is a path-order-family label
well-founded structural induction on Trace,structural_induction,structural_induction,double-blind-2026-07-06:agree,matches 'structural induction on Trace'
well-founded structural measure (cherry count + banana-grape depth),direct_measure,direct_measure,double-blind-2026-07-06:agree,additive single-valued count/depth measure
well-founded structural measure (grape-count descent),direct_measure,direct_measure,double-blind-2026-07-06:agree,single grape-count measure
well-founded subterm relation on third argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,subterm ordering maps to structural_descent
"well-founded term measure (F-count, S-depth)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,tuple of counts ordered lexicographically
